Instance,Income
111994,29646.578
111995,12908.563
111996,37906.117
111997,106949.47
111998,13883.228
111999,95459.26
112000,97222.9
112001,57532.926
112002,45473.69
112003,123849.12
112004,9265.764
112005,177414.67
112006,29950.703
112007,88576.26
112008,274408.12
112009,71376.34
112010,39851.566
112011,22277.387
112012,25032.324
112013,15255.691
112014,119766.17
112015,49609.258
112016,40009.86
112017,26729.574
112018,168355.2
112019,51091.043
112020,34175.824
112021,26646.072
112022,99771.85
112023,64238.59
112024,23702.992
112025,70528.06
112026,33189.293
112027,75494.05
112028,30899.535
112029,37659.957
112030,160974.06
112031,203550.22
112032,242844.8
112033,92439.73
112034,202097.45
112035,87728.945
112036,185080.89
112037,140164.44
112038,203186.11
112039,28360.875
112040,67737.9
112041,70022.9
112042,36128.19
112043,70086.914
112044,52441.996
112045,20081.139
112046,273453.12
112047,14344.428
112048,26532.117
112049,88441.17
112050,44765.496
112051,61258.473
112052,120075.516
112053,206304.89
112054,84638.02
112055,33791.164
112056,89297.266
112057,14714.333
112058,47090.902
112059,37710.855
112060,321572.34
112061,111845.71
112062,192817.52
112063,72553.305
112064,14634.558
112065,66437.88
112066,11778.617
112067,110652.39
112068,46360.582
112069,269236.22
112070,276336.4
112071,40080.996
112072,81217.39
112073,43516.902
112074,27866.387
112075,14126.0625
112076,126124.77
112077,1093188.9
112078,14497.057
112079,181439.84
112080,84623.51
112081,766324.25
112082,35371.31
112083,37028.332
112084,16446.418
112085,45108.37
112086,32760.525
112087,46074.633
112088,123248.32
112089,47869.938
112090,184204.52
112091,40312.055
112092,33938.855
112093,93915.89
112094,35572.55
112095,50743.395
112096,114285.72
112097,23460.57
112098,38214.55
112099,27520.82
112100,37198.94
112101,161049.92
112102,30915.887
112103,120955.83
112104,73292.83
112105,57947.34
112106,90921.83
112107,93644.914
112108,70224.6
112109,30116.467
112110,46864.26
112111,40145.117
112112,88686.29
112113,82509.06
112114,62989.51
112115,25778.945
112116,47529.754
112117,95890.76
112118,32100.54
112119,34786.84
112120,471763.66
112121,122765.805
112122,423834.94
112123,187301.56
112124,50952.418
112125,204951.3
112126,184342.08
112127,23503.672
112128,38988.934
112129,88488.805
112130,93408.11
112131,25486.637
112132,67850.15
112133,292147.97
112134,18137.523
112135,16752.654
112136,59438.266
112137,14599.389
112138,13915.238
112139,63806.266
112140,48381.91
112141,47782.71
112142,68032.55
112143,172109.98
112144,30865.314
112145,31814.445
112146,46682.637
112147,231842.86
112148,52850.285
112149,75636.35
112150,7503.268
112151,350795.75
112152,80847.87
112153,49457.234
112154,29259.324
112155,107272.63
112156,70501.9
112157,97049.19
112158,38589.332
112159,267107.47
112160,47032.363
112161,157636.17
112162,80521.914
112163,16532.52
112164,32245.285
112165,139946.05
112166,62897.53
112167,24574.674
112168,55689.93
112169,272008.03
112170,225665.03
112171,43794.45
112172,14306.24
112173,112742.305
112174,31820.268
112175,35834.332
112176,30489.346
112177,91217.02
112178,13965.842
112179,23860.184
112180,43151.758
112181,12958.681
112182,294873.12
112183,87608.875
112184,26269.86
112185,244423.39
112186,9143.06
112187,107858.13
112188,122092.12
112189,49927.45
112190,29024.945
112191,83293.29
112192,230492.62
112193,42636.7
112194,141983.58
112195,37525.61
112196,14696.168
112197,187799.47
112198,29936.465
112199,46455.527
112200,56215.594
112201,322627.62
112202,150731.47
112203,31156.545
112204,37922.598
112205,9951.745
112206,106517.82
112207,279766.7
112208,65021.605
112209,425228.53
112210,36365.74
112211,259543.27
112212,41625.53
112213,12294.471
112214,201138.92
112215,31852.979
112216,111041.72
112217,36241.684
112218,40780.324
112219,429314.1
112220,33847.26
112221,5831.5376
112222,29417.787
112223,54772.855
112224,159316.03
112225,19506.875
112226,52267.973
112227,60960.73
112228,121930.555
112229,61479.508
112230,169867.69
112231,21198.357
112232,165898.95
112233,16462.627
112234,27576.355
112235,15663.96
112236,98391.945
112237,315886.3
112238,44660.26
112239,24264.197
112240,13972.4375
112241,25734.89
112242,48971.91
112243,64841.48
112244,146009.23
112245,97741.375
112246,46371.176
112247,498040.4
112248,91308.72
112249,15004.782
112250,39387.457
112251,49523.312
112252,39853.355
112253,23954.49
112254,275289.0
112255,37839.36
112256,19401.627
112257,41713.88
112258,352229.84
112259,190677.98
112260,111793.086
112261,302070.97
112262,87892.99
112263,29287.12
112264,85301.29
112265,19244.514
112266,38465.52
112267,66337.195
112268,69434.82
112269,438508.03
112270,13142.289
112271,79700.234
112272,84546.36
112273,151212.16
