Instance,Income
111994,34500.117
111995,12879.872
111996,34838.426
111997,95302.91
111998,11395.469
111999,90059.96
112000,101582.52
112001,48426.71
112002,35728.016
112003,100303.01
112004,11807.737
112005,181574.9
112006,25644.408
112007,86745.055
112008,259295.9
112009,69568.99
112010,41424.824
112011,18616.914
112012,22121.596
112013,18099.021
112014,112511.15
112015,45289.13
112016,37050.92
112017,18605.352
112018,163285.9
112019,48117.184
112020,35553.145
112021,14297.87
112022,77657.66
112023,64259.51
112024,22302.236
112025,68303.695
112026,31152.791
112027,76705.91
112028,28196.826
112029,35231.16
112030,154605.53
112031,191571.34
112032,219923.75
112033,81892.87
112034,188592.53
112035,81553.69
112036,174395.38
112037,121709.57
112038,177165.25
112039,34510.777
112040,67953.92
112041,68851.55
112042,37148.543
112043,74830.375
112044,45397.22
112045,8977.775
112046,266391.2
112047,11286.794
112048,27065.527
112049,95476.73
112050,36482.363
112051,66347.414
112052,118587.23
112053,195175.03
112054,61412.676
112055,30085.393
112056,83910.24
112057,13430.522
112058,41058.465
112059,25957.637
112060,318609.6
112061,108011.0
112062,176355.06
112063,73268.82
112064,17406.936
112065,62007.566
112066,13457.948
112067,111344.3
112068,64202.773
112069,246873.5
112070,313627.03
112071,48012.082
112072,75635.6
112073,39740.688
112074,20669.629
112075,13921.782
112076,115956.77
112077,1160277.9
112078,12260.552
112079,173437.9
112080,70395.92
112081,817397.9
112082,42485.582
112083,44803.004
112084,17053.63
112085,35427.848
112086,34126.875
112087,44065.418
112088,128266.555
112089,37156.598
112090,177512.08
112091,39288.76
112092,30689.766
112093,80803.1
112094,34103.21
112095,48866.434
112096,98957.06
112097,15991.892
112098,36552.91
112099,16269.712
112100,38860.387
112101,151527.44
112102,25581.078
112103,126118.234
112104,73847.15
112105,60045.266
112106,82954.555
112107,85017.21
112108,57796.082
112109,26299.576
112110,44348.02
112111,30265.184
112112,83955.914
112113,74942.625
112114,67605.07
112115,17903.611
112116,51874.832
112117,88208.836
112118,38089.246
112119,30226.576
112120,455062.03
112121,126160.19
112122,435076.03
112123,190643.8
112124,45968.59
112125,192212.81
112126,171394.97
112127,17061.58
112128,40346.73
112129,85250.05
112130,90659.29
112131,26389.898
112132,74893.21
112133,290331.97
112134,19963.635
112135,14002.343
112136,55957.164
112137,13615.144
112138,22850.414
112139,57563.62
112140,47065.492
112141,46742.027
112142,64817.773
112143,172294.11
112144,30590.14
112145,29041.613
112146,38915.3
112147,210230.53
112148,49948.383
112149,69551.77
112150,9154.792
112151,390652.2
112152,79035.4
112153,55660.19
112154,35647.594
112155,89849.31
112156,86702.625
112157,86501.85
112158,39711.48
112159,283662.53
112160,45214.477
112161,157016.69
112162,72044.87
112163,18463.848
112164,27433.926
112165,139140.58
112166,40363.047
112167,21374.188
112168,55263.01
112169,259474.6
112170,206656.84
112171,45223.035
112172,11474.731
112173,112519.875
112174,35746.74
112175,38981.688
112176,22766.605
112177,99021.93
112178,13059.765
112179,20186.271
112180,40242.766
112181,10212.729
112182,282391.56
112183,85808.07
112184,20621.04
112185,252178.81
112186,12259.708
112187,131557.47
112188,114815.3
112189,51228.55
112190,28380.402
112191,84282.62
112192,226907.6
112193,29428.168
112194,137543.75
112195,34312.523
112196,11780.573
112197,186281.97
112198,23666.258
112199,45870.777
112200,53149.07
112201,314405.12
112202,142932.8
112203,30626.182
112204,29148.777
112205,9296.055
112206,102868.96
112207,275259.78
112208,62391.69
112209,392126.2
112210,40540.332
112211,244486.53
112212,56896.293
112213,21579.8
112214,199587.31
112215,35122.086
112216,111375.875
112217,36159.81
112218,38890.625
112219,402113.22
112220,29835.691
112221,7426.3467
112222,23629.379
112223,47648.684
112224,154158.7
112225,24557.656
112226,56142.742
112227,57298.254
112228,116357.46
112229,65145.676
112230,153002.73
112231,14510.103
112232,110927.414
112233,16697.43
112234,18796.22
112235,14775.878
112236,90857.24
112237,302530.84
112238,41047.39
112239,17036.84
112240,12407.202
112241,19754.602
112242,46053.16
112243,57725.016
112244,139579.03
112245,96842.516
112246,25630.312
112247,497788.16
112248,88071.33
112249,10699.242
112250,45347.082
112251,46455.73
112252,40747.195
112253,24340.988
112254,316429.66
112255,36528.684
112256,17622.926
112257,34013.473
112258,368280.12
112259,173628.69
112260,118166.59
112261,294066.44
112262,82082.734
112263,29466.88
112264,72796.44
112265,15097.487
112266,33298.754
112267,50263.99
112268,56563.945
112269,467049.38
112270,12861.794
112271,90277.99
112272,71414.445
112273,137740.0
112274,9304.416
112275,140647.94
112276,151340.39
112277,71779.04
112278,30589.576
112279,27274.203
112280,123295.68
112281,53444.01
112282,167970.8
112283,93554.7
